Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:33:25.649000,SAI,55,0 days 00:01:14.191000,1.0,1.0,,,,0 days 00:00:24.175000,0 days 00:00:26.478000,,0 days 00:33:31.586000,0 days 00:33:58.367000,285.0,119.0,252.0,266.0,False,SOFT,4.0,False,McLaren,0 days 00:32:43.624000,2020-12-06 17:12:43.657,24,5.0,False,,False,False,21.1,58.7,1015.7,False,23.8,8,2.3
0 days 00:34:25.651000,SAI,55,0 days 00:01:35.563000,2.0,1.0,,,0 days 00:00:29.178000,0 days 00:00:39.952000,0 days 00:00:26.433000,0 days 00:34:27.167000,0 days 00:35:07.119000,0 days 00:35:33.552000,126.0,217.0,173.0,191.0,True,SOFT,5.0,False,McLaren,0 days 00:33:57.975000,2020-12-06 17:13:58.008,4,3.0,False,,False,False,21.1,58.4,1015.7,False,23.8,18,2.0
0 days 00:36:25.637000,SAI,55,0 days 00:01:29.628000,3.0,1.0,,,0 days 00:00:30.088000,0 days 00:00:32.865000,0 days 00:00:26.675000,0 days 00:36:03.640000,0 days 00:36:36.505000,0 days 00:37:03.180000,194.0,202.0,208.0,210.0,True,SOFT,6.0,False,McLaren,0 days 00:35:33.538000,2020-12-06 17:15:33.571,4,3.0,False,,False,False,21.1,58.3,1015.8,False,23.8,9,2.4
0 days 00:37:25.642000,SAI,55,0 days 00:01:32.053000,4.0,1.0,,,0 days 00:00:31.204000,0 days 00:00:32.604000,0 days 00:00:28.245000,0 days 00:37:34.384000,0 days 00:38:06.988000,0 days 00:38:35.233000,150.0,171.0,203.0,131.0,False,SOFT,7.0,False,McLaren,0 days 00:37:03.166000,2020-12-06 17:17:03.199,4,3.0,False,,False,False,21.1,57.9,1015.7,False,23.9,347,1.7
0 days 00:39:25.671000,SAI,55,0 days 00:01:30.161000,5.0,1.0,,,0 days 00:00:32.217000,0 days 00:00:33.758000,0 days 00:00:24.186000,0 days 00:39:07.450000,0 days 00:39:41.208000,0 days 00:40:05.394000,185.0,235.0,242.0,139.0,False,SOFT,8.0,False,McLaren,0 days 00:38:35.219000,2020-12-06 17:18:35.252,4,3.0,False,,False,False,21.1,57.5,1015.7,False,23.8,337,2.0
0 days 00:40:25.654000,SAI,55,0 days 00:01:27.502000,6.0,1.0,,,0 days 00:00:28.430000,0 days 00:00:37.410000,0 days 00:00:21.662000,0 days 00:40:33.824000,0 days 00:41:11.234000,0 days 00:41:32.896000,236.0,68.0,291.0,253.0,True,SOFT,9.0,False,McLaren,0 days 00:40:05.380000,2020-12-06 17:20:05.413,4,3.0,False,,False,False,21.1,57.4,1015.8,False,23.8,7,2.8
0 days 00:42:25.698000,SAI,55,0 days 00:00:59.252000,7.0,1.0,,,0 days 00:00:20.454000,0 days 00:00:21.503000,0 days 00:00:17.295000,0 days 00:41:53.350000,0 days 00:42:14.853000,0 days 00:42:32.148000,272.0,259.0,284.0,317.0,True,SOFT,10.0,False,McLaren,0 days 00:41:32.882000,2020-12-06 17:21:32.915,1,3.0,False,,False,False,21.0,57.5,1015.8,False,23.8,340,2.3
0 days 00:43:25.695000,SAI,55,0 days 00:00:58.824000,8.0,1.0,,,0 days 00:00:20.383000,0 days 00:00:21.034000,0 days 00:00:17.407000,0 days 00:42:52.531000,0 days 00:43:13.565000,0 days 00:43:30.972000,275.0,261.0,283.0,296.0,True,SOFT,11.0,False,McLaren,0 days 00:42:32.134000,2020-12-06 17:22:32.167,1,3.0,False,,False,True,21.0,57.3,1015.9,False,23.8,12,2.0
0 days 00:44:25.689000,SAI,55,0 days 00:00:58.789000,9.0,1.0,,,0 days 00:00:20.289000,0 days 00:00:21.109000,0 days 00:00:17.391000,0 days 00:43:51.261000,0 days 00:44:12.370000,0 days 00:44:29.761000,282.0,258.0,281.0,297.0,True,SOFT,12.0,False,McLaren,0 days 00:43:30.958000,2020-12-06 17:23:30.991,1,3.0,False,,False,True,21.0,56.9,1015.8,False,23.7,3,1.9
0 days 00:45:25.711000,SAI,55,0 days 00:00:58.779000,10.0,1.0,,,0 days 00:00:20.414000,0 days 00:00:21.082000,0 days 00:00:17.283000,0 days 00:44:50.175000,0 days 00:45:11.257000,0 days 00:45:28.540000,276.0,259.0,281.0,294.0,True,SOFT,13.0,False,McLaren,0 days 00:44:29.747000,2020-12-06 17:24:29.780,1,3.0,False,,False,True,21.0,56.7,1015.9,False,23.7,42,2.4
0 days 00:46:25.703000,SAI,55,0 days 00:00:58.637000,11.0,1.0,,,0 days 00:00:20.422000,0 days 00:00:21.015000,0 days 00:00:17.200000,0 days 00:45:48.962000,0 days 00:46:09.977000,0 days 00:46:27.177000,271.0,260.0,280.0,299.0,True,SOFT,14.0,False,McLaren,0 days 00:45:28.526000,2020-12-06 17:25:28.559,1,3.0,False,,False,True,21.0,56.3,1015.8,False,23.7,1,2.4
0 days 00:47:25.772000,SAI,55,0 days 00:00:58.741000,12.0,1.0,,,0 days 00:00:20.459000,0 days 00:00:21.062000,0 days 00:00:17.220000,0 days 00:46:47.636000,0 days 00:47:08.698000,0 days 00:47:25.918000,268.0,259.0,279.0,296.0,False,SOFT,15.0,False,McLaren,0 days 00:46:27.163000,2020-12-06 17:26:27.196,1,3.0,False,,False,True,20.9,56.2,1015.9,False,23.6,327,2.6
0 days 00:47:25.772000,SAI,55,0 days 00:00:58.980000,13.0,1.0,,,0 days 00:00:20.497000,0 days 00:00:21.118000,0 days 00:00:17.365000,0 days 00:47:46.415000,0 days 00:48:07.533000,0 days 00:48:24.898000,267.0,259.0,279.0,299.0,False,SOFT,16.0,False,McLaren,0 days 00:47:25.904000,2020-12-06 17:27:25.937,1,3.0,False,,False,True,20.9,56.2,1015.9,False,23.6,327,2.6
0 days 00:48:25.760000,SAI,55,0 days 00:00:58.920000,14.0,1.0,,,0 days 00:00:20.541000,0 days 00:00:20.988000,0 days 00:00:17.391000,0 days 00:48:45.439000,0 days 00:49:06.427000,0 days 00:49:23.818000,275.0,259.0,279.0,287.0,False,SOFT,17.0,False,McLaren,0 days 00:48:24.884000,2020-12-06 17:28:24.917,1,3.0,False,,False,True,20.9,56.0,1015.8,False,23.6,2,2.1
0 days 00:49:25.764000,SAI,55,0 days 00:00:58.844000,15.0,1.0,,,0 days 00:00:20.593000,0 days 00:00:20.991000,0 days 00:00:17.260000,0 days 00:49:44.411000,0 days 00:50:05.402000,0 days 00:50:22.662000,277.0,260.0,280.0,288.0,False,SOFT,18.0,False,McLaren,0 days 00:49:23.804000,2020-12-06 17:29:23.837,1,3.0,False,,False,True,20.9,56.1,1015.9,False,23.5,357,1.7
0 days 00:50:25.764000,SAI,55,0 days 00:00:58.824000,16.0,1.0,,,0 days 00:00:20.523000,0 days 00:00:21.019000,0 days 00:00:17.282000,0 days 00:50:43.185000,0 days 00:51:04.204000,0 days 00:51:21.486000,275.0,258.0,280.0,286.0,False,SOFT,19.0,False,McLaren,0 days 00:50:22.648000,2020-12-06 17:30:22.681,1,3.0,False,,False,True,20.9,55.9,1015.8,False,23.5,20,2.6
0 days 00:51:25.772000,SAI,55,0 days 00:00:58.924000,17.0,1.0,,,0 days 00:00:20.632000,0 days 00:00:20.909000,0 days 00:00:17.383000,0 days 00:51:42.118000,0 days 00:52:03.027000,0 days 00:52:20.410000,274.0,260.0,278.0,284.0,False,SOFT,20.0,False,McLaren,0 days 00:51:21.472000,2020-12-06 17:31:21.505,1,3.0,False,,False,True,20.8,56.2,1015.8,False,23.4,350,2.9
0 days 00:52:25.775000,SAI,55,0 days 00:00:58.662000,18.0,1.0,,,0 days 00:00:20.509000,0 days 00:00:20.937000,0 days 00:00:17.216000,0 days 00:52:40.919000,0 days 00:53:01.856000,0 days 00:53:19.072000,276.0,260.0,279.0,286.0,False,SOFT,21.0,False,McLaren,0 days 00:52:20.396000,2020-12-06 17:32:20.429,1,3.0,False,,False,True,20.8,55.7,1015.7,False,23.4,353,2.5
